Industry,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transport and storage,Accommodation and food services,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Consumer expenditure,Total
1990,0.079,0.004,0.166,0.146,0.428,0.01,0.032,0.01,0.019,0.008,0.009,0.002,0.01,0.004,0.014,0.014,0.012,0.006,0.003,0,0.752,1.73
1991,0.079,0.004,0.149,0.15,0.438,0.01,0.03,0.01,0.018,0.008,0.008,0.002,0.01,0.004,0.016,0.016,0.014,0.006,0.003,0,0.742,1.716
1992,0.081,0.005,0.175,0.191,0.419,0.015,0.038,0.012,0.022,0.01,0.01,0.002,0.012,0.005,0.021,0.021,0.019,0.007,0.003,0,0.833,1.9
1993,0.081,0.004,0.417,0.214,0.36,0.014,0.039,0.016,0.023,0.01,0.011,0.002,0.012,0.005,0.018,0.017,0.016,0.007,0.003,0,0.832,2.103
1994,0.082,0.005,0.663,0.275,0.312,0.016,0.047,0.019,0.028,0.012,0.013,0.003,0.015,0.007,0.023,0.023,0.02,0.009,0.004,0,0.884,2.461
1995,0.082,0.006,0.713,0.282,0.312,0.018,0.049,0.021,0.029,0.013,0.013,0.003,0.016,0.007,0.022,0.023,0.02,0.009,0.005,0,0.881,2.524
1996,0.081,0.005,0.698,0.281,0.304,0.017,0.046,0.018,0.027,0.012,0.012,0.003,0.014,0.006,0.02,0.021,0.018,0.009,0.004,0,0.867,2.465
1997,0.083,0.006,0.748,0.349,0.097,0.018,0.06,0.022,0.035,0.016,0.016,0.004,0.019,0.008,0.023,0.023,0.02,0.011,0.005,0,0.908,2.471
1998,0.087,0.007,0.761,0.323,0.094,0.023,0.078,0.026,0.041,0.02,0.019,0.011,0.025,0.009,0.028,0.028,0.028,0.016,0.007,0,1.023,2.654
1999,0.09,0.008,0.739,0.449,0.099,0.027,0.103,0.029,0.038,0.023,0.019,0.009,0.025,0.01,0.034,0.029,0.031,0.021,0.008,0,1.067,2.856
2000,0.093,0.013,0.638,0.429,0.101,0.031,0.124,0.035,0.046,0.026,0.021,0.011,0.029,0.012,0.038,0.03,0.034,0.024,0.009,0,1.138,2.882
2001,0.092,0.012,0.619,0.475,0.116,0.036,0.122,0.037,0.047,0.036,0.026,0.013,0.034,0.013,0.042,0.032,0.036,0.029,0.011,0,1.174,3.005
2002,0.093,0.015,0.749,0.543,0.123,0.044,0.133,0.044,0.049,0.025,0.027,0.013,0.03,0.014,0.043,0.032,0.035,0.035,0.01,0,1.228,3.283
2003,0.094,0.019,0.878,0.58,0.103,0.05,0.144,0.05,0.047,0.036,0.025,0.012,0.032,0.015,0.049,0.032,0.033,0.036,0.011,0,1.272,3.519
2004,0.099,0.027,1.052,0.622,0.155,0.066,0.195,0.067,0.039,0.034,0.039,0.007,0.042,0.019,0.064,0.032,0.038,0.046,0.013,0,1.486,4.141
2005,0.104,0.04,1.158,0.941,0.177,0.086,0.232,0.086,0.051,0.041,0.051,0.011,0.054,0.02,0.069,0.03,0.057,0.06,0.016,0,1.738,5.02
2006,0.105,0.033,1.24,1.107,0.186,0.088,0.233,0.134,0.057,0.044,0.045,0.013,0.057,0.022,0.063,0.033,0.059,0.047,0.016,0,1.809,5.39
2007,0.11,0.031,1.088,1.096,0.17,0.104,0.263,0.177,0.065,0.055,0.052,0.018,0.061,0.027,0.07,0.035,0.067,0.052,0.018,0,1.881,5.44
2008,0.125,0.043,1.355,1.086,0.179,0.182,0.345,0.323,0.079,0.065,0.059,0.024,0.081,0.035,0.081,0.035,0.084,0.06,0.029,0,2.083,6.354
2009,0.128,0.043,1.294,1.259,0.178,0.195,0.405,0.349,0.094,0.074,0.064,0.027,0.073,0.036,0.08,0.039,0.094,0.058,0.03,0,2.377,6.895
2010,0.154,0.045,1.534,1.357,0.218,0.199,0.406,0.368,0.099,0.08,0.072,0.022,0.086,0.037,0.077,0.041,0.102,0.062,0.032,0,2.665,7.654
2011,0.15,0.047,1.794,1.478,0.271,0.224,0.467,0.356,0.135,0.102,0.096,0.031,0.099,0.035,0.089,0.048,0.126,0.071,0.033,0,2.862,8.514
2012,0.187,0.049,1.839,1.522,0.319,0.212,0.507,0.288,0.173,0.11,0.109,0.041,0.112,0.031,0.098,0.063,0.158,0.087,0.035,0,3.24,9.182
2013,0.224,0.061,2.193,2.01,0.392,0.246,0.584,0.327,0.197,0.142,0.119,0.037,0.133,0.033,0.097,0.067,0.176,0.08,0.041,0,3.702,10.861
2014,0.271,0.077,2.706,2.378,0.491,0.321,0.691,0.382,0.266,0.147,0.148,0.039,0.143,0.036,0.114,0.079,0.208,0.096,0.041,0,4.074,12.706
2015,0.39,0.101,3.327,2.997,0.626,0.398,0.875,0.359,0.298,0.162,0.15,0.037,0.139,0.031,0.117,0.112,0.211,0.114,0.052,0,4.672,15.168
2016,0.477,0.094,3.475,2.988,0.747,0.355,0.907,0.372,0.298,0.149,0.151,0.039,0.14,0.034,0.114,0.106,0.222,0.106,0.062,0,4.808,15.644
2017,0.56,0.121,3.966,3.012,0.886,0.491,1.098,0.401,0.303,0.165,0.17,0.047,0.14,0.036,0.12,0.146,0.226,0.134,0.082,0,5.332,17.436
2018,0.611,0.148,4.496,3.308,0.955,0.597,1.314,0.516,0.336,0.189,0.184,0.049,0.175,0.047,0.125,0.127,0.234,0.143,0.07,0,6.032,19.657
2019,0.625,0.149,4.714,3.469,0.887,0.698,1.435,0.549,0.399,0.167,0.183,0.056,0.174,0.054,0.122,0.129,0.219,0.148,0.071,0,6.506,20.755
2020,0.652,0.191,5.239,3.445,0.975,0.677,1.492,0.592,0.288,0.194,0.162,0.063,0.163,0.066,0.073,0.08,0.154,0.133,0.077,0,7.546,22.262
2021,0.641,0.173,4.979,3.422,1.038,0.83,1.397,0.561,0.337,0.201,0.149,0.063,0.155,0.056,0.116,0.112,0.209,0.149,0.054,0,7.087,21.729
2022,0.608,0.186,5.384,3.33,1.101,0.922,1.576,0.7,0.377,0.228,0.131,0.071,0.164,0.066,0.111,0.096,0.2,0.152,0.082,0,7.462,22.948
2023,0.61,0.163,5.284,3.158,1.098,0.913,1.645,0.854,0.384,0.232,0.134,0.072,0.168,0.071,0.113,0.097,0.2,0.155,0.085,0,7.674,23.11
